name,dob,no_theft_count
David Reid,27/08/1996,80
Teresa Bahlmann,09/07/1997,80
Lawrence Olsen,15/05/1997,80
Sherry Stewart,07/06/1996,79
Lisa Hazelwood,14/06/1996,79
David Graves,03/02/1997,79
Frances Schiavone,26/01/1996,79
Dean Jennings,30/03/1997,79
Christopher Mather,02/06/1997,79
David Gismondi,21/07/1994,78
Cynthia Corbin,21/09/1995,78
Carey Hamilton,10/07/1994,78
John Velis,17/06/1993,77
Manuela Hines,06/12/1994,77
Dong Brett,17/11/1994,77
Donald Reddout,29/08/1997,77
Homer Castro,10/01/1997,77
Cheryl Harris,30/07/1996,76
Roger Williams,10/04/1997,76
Fred Barnette,19/06/1997,76
Joseph Hirneise,18/12/1995,75
Janet Greene,06/09/1996,75
Brenda Mathis,15/01/1995,75
Guillermo Johnson,10/12/1995,75
Betty Young,15/05/1996,75
Ralph Brisson,26/07/1995,75
Linda Gomez,08/03/1996,74
Jenni Ager,01/10/1996,74
Nicole Mcglone,13/01/1996,74
Clayton Hudson,04/06/1996,74
Michael Mcbride,26/04/1993,74
Isreal Jones,05/09/1997,73
Robert Williams,02/04/1993,73
Laura Ortiz,23/07/1997,72
Bryant Ahearn,08/03/1997,72
Joann Dimick,09/10/1994,72
German Gallian,12/06/1997,72
Michael Selfridge,22/05/1996,72
Emelda Clay,29/08/1994,72
Bruce Killeen,23/05/1997,72
Phyllis Romero,24/03/1995,72
Joshua Braswell,29/09/1996,72
Edith Alexander,18/08/1996,71
Ana Coleman,05/11/1997,71
Victor Ortiz,03/02/1996,71
Franklin Olson,29/04/1994,71
Roberta Miller,25/06/1992,71
Fredrick Acevedo,07/05/1995,71
Errol Dietrick,11/01/1996,71
Nicholas Acosta,05/06/1995,71
Douglas Medina,19/07/1995,70
Deanne Fisher,08/04/1997,69
Julia Lewis,13/02/1996,69
Frank Figueroa,23/07/1997,69
Fred Massenburg,02/12/1996,69
Mary Hill,19/08/1997,69
Dawn Gandara,09/12/1995,68
Eugene Velo,25/01/1997,68
Jeffrey Lamb,14/01/1994,68
Justin Achenbach,29/06/1996,68
Donna Hull,08/03/1996,68
Samantha Vazquez,19/02/1996,68
Brenda Miller,03/07/1995,68
James Foltz,13/09/1995,68
Ruth Vise,01/09/1996,68
George Walters,04/05/1996,67
Linda Vasquez,28/01/1997,67
Nellie Jaynes,02/08/1993,67
Jerry Carroll,19/11/1995,67
Lyle Hemenway,03/05/1995,67
Robert Ewing,09/02/1996,67
Katrina Beasley,06/03/1997,66
Lucy Watson,11/09/1996,66
Janice Mcnatt,28/08/1994,66
Felicia Preece,09/07/1996,66
Melody Whitlock,05/09/1997,66
Marcellus Hau,24/08/1994,66
Jennifer Savage,31/05/1996,66
Evalyn Kenney,14/11/1996,65
Nellie Carney,19/07/1996,65
Owen Wessel,04/12/1996,65
Margaret Hickman,08/01/1996,65
Christi Macpartland,11/12/1996,65
Helen Coleman,09/02/1996,65
James Borders,31/12/1990,64
Roberta Shelley,01/09/1994,64
Benjamin Kave,01/10/1996,64
Marcia Coleman,08/09/1995,64
Ivan Sundby,23/12/1996,64
Arlena Raven,11/02/1996,64
Maida Valdez,01/01/1996,64
Robert Zohn,22/04/1997,64
Lisa Gustavson,22/05/1997,64
Zenobia Yahna,19/02/1997,64
Wai Houlahan,11/12/1994,64
Lucia Burkett,30/07/1997,63
Joseph Smith,25/04/1996,63
Carl Dowling,09/01/1995,63
Marisa Smiley,23/05/1997,62
Russell Jordan,11/07/1997,62
Anita Ullrich,16/06/1995,62
Sheila Burch,18/07/1996,62
Shawn Niebaum,06/11/1996,62
Hector Selman,20/01/1997,62
Lisa Sing,23/10/1997,62
Earl Manson,01/12/1994,62
Robin Wilson,22/03/1997,62
Roberto Fitzgerald,23/11/1994,62
Lewis Rustrian,25/02/1997,61
Ollie Rogers,25/11/1995,61
William Rasmussen,17/03/1993,61
Robert Shepherd,30/03/1993,61
Donna Riess,01/05/1997,61
Thomas Collins,01/10/1995,61
Ivan Huertas,16/11/1995,61
Herman Briggs,29/03/1996,61
Adam Johnson,11/04/1996,60
Nathaniel Irving,18/04/1995,60
Tom Jackson,29/08/1995,60
Susan Medina,17/11/1996,60
Brad Friedman,06/05/1997,60
Robert Tweed,29/03/1996,60
Deborah Peralez,08/07/1997,59
Christina Trujillo,01/07/1994,59
Brittany Calvert,18/09/1996,59
Keith Hayward,09/09/1996,59
Claudia Hughes,13/12/1994,59
Jean Vayner,15/05/1997,59
Darlene Cunha,06/10/1995,58
Mary Murray,17/07/1996,58
Joshua Heimsness,12/12/1993,58
Carolyn Ave,29/10/1997,58
Jonathan Saballos,28/11/1995,58
Shirley Walter,04/03/1997,57
Geraldine Arreola,27/05/1993,57
Willie Gould,10/07/1995,57
Cynthia Vanwinkle,27/09/1995,57
Ronald Snook,03/01/1996,57
Shirley Saucedo,02/04/1997,57
Kimberly Fletcher,23/05/1996,57
Gerald Butts,17/01/1997,57
Aaron Nelson,12/12/1994,56
Cassidy Williams,14/08/1996,56
Robert Parker,01/10/1997,56
Darrell Wilson,19/01/1993,56
Vanessa Aguilar,10/12/1993,56
Nick Cropsey,04/05/1994,55
Gerry Jenkins,06/01/1997,55
Steven Estevez,13/01/1992,55
Jane Burton,18/10/1996,55
Maude Faulkner,02/09/1996,55
Shayne West,20/07/1996,54
Leonard Poole,14/05/1997,54
Keith Bowers,06/04/1997,54
Thomas Conlon,07/08/1995,54
Sammy Bliss,24/04/1997,53
Etha Holt,05/08/1994,53
Ray Martin,29/08/1993,53
Adrian Whapham,11/03/1995,52
Rebecca Lynch,25/02/1995,52
Jeanine Jones,16/01/1997,52
Marcus Cox,05/12/1996,52
Daniel Harris,07/10/1997,52
Jack Hawkins,30/04/1997,51
Pablo Weidler,27/09/1992,51
Jeffery Rosenthal,30/01/1996,51
Lauryn George,17/10/1991,51
Effie Garcia,14/11/1994,51
Melanie Cooke,31/07/1996,51
Thomas Mann,05/04/1997,51
Michael Tade,17/11/1994,51
Vivian Gibson,20/08/1996,51
Freda Shepardson,28/02/1994,51
Maribel Walters,30/07/1994,50
Jerry Fritz,19/10/1995,50
Keith Sharp,23/09/1997,50
Sammy Fox,31/08/1996,50
Irma Tseng,06/04/1997,50
Lillian Mcnair,19/01/1997,50
Edgar Roth,19/02/1996,50
Jimmy Smiley,19/04/1996,50
Dorothy Elkins,12/04/1995,50
Esther Swain,12/07/1997,50
Justin Godoy,30/09/1996,49
John Ramirez,29/09/1995,49
James Gantt,10/09/1994,49
Joelle Grimaud,03/08/1996,49
Ruby Stott,31/08/1994,49
Rafael Ellis,17/11/1995,49
Olivia Aspinall,24/12/1996,49
Michelle Hampton,20/05/1996,48
Craig Burks,04/11/1996,48
Vincent Greene,29/07/1994,48
John Borden,27/11/1996,48
Stephanie Malinowski,18/05/1996,48
Jennifer Brown,19/04/1995,47
Cheryl Burton,17/08/1997,47
Kim Redding,03/12/1996,47
Wayne Roop,09/10/1995,47
Tasia Capehart,17/08/1996,47
Samuel Fierro,02/01/1997,47
Jenny Mcnabb,25/09/1997,47
Hazel Jefferies,14/12/1995,47
Byron Wafford,21/05/1995,47
Joseph Young,17/02/1995,47
Roderick Anding,03/09/1994,46
Sarah Wilds,08/09/1995,46
Michael Alvarado,05/07/1997,46
Shanae Platt,24/03/1997,46
Edward Brown,11/10/1995,46
Monica Loureiro,24/08/1995,46
Laura Sotelo,06/04/1994,45
Sheila Fitzgerald,30/05/1996,45
Christina Angell,27/09/1997,45
Steven Jones,03/02/1996,45
Brian Lane,16/06/1996,45
Shirley Hatfield,12/05/1997,45
Beulah Lindsey,10/04/1997,45
Vickie Leathers,15/12/1995,45
Phillis Mclain,05/05/1997,45
Stephen Diggins,18/01/1994,45
Peter Romo,25/08/1995,44
Carolyn Schimmel,19/03/1997,44
Francis Bunting,24/02/1996,44
Tracy Strope,03/11/1996,44
Virginia Quarry,13/10/1995,44
Beverly Pimentel,20/06/1997,43
Mark Powers,23/03/1997,43
Gayle Alexander,16/09/1997,43
Clyde Bradley,15/01/1997,43
Frances Netherton,08/02/1995,43
Kathryn Dean,11/10/1997,42
Leroy Smith,09/08/1996,42
Thomas Cole,11/08/1995,42
Babette Mitchell,27/08/1995,42
Jennifer Gearhart,14/06/1996,42
John Flora,15/05/1996,42
Jim Turner,08/10/1995,42
Jennifer Thornbury,02/04/1996,42
Caleb Jobe,02/03/1995,42
Daniel Reed,22/01/1995,42
Sharleen Johnson,17/04/1996,42
Martha Peters,09/01/1995,42
Harry Duncan,07/10/1996,42
Pete Bobb,22/04/1996,42
Cecil Fryer,07/10/1996,42
David Lombardi,03/08/1995,42
Doris Wilson,28/06/1996,42
Cecilia Slone,14/12/1995,41
Daniel Cortez,28/12/1996,41
Laura Smith,05/03/1996,41
Ricky Ruiz,27/07/1997,41
Gilbert Mackay,18/08/1993,41
Dawn Douglas,10/12/1995,41
Melissa Cashman,16/09/1997,41
Jeffrey Snow,09/09/1996,41
Dan Saunders,06/12/1996,41
Mary Vanauker,24/03/1997,41
Anthony Scavone,16/04/1997,41
Mohammad Simonds,12/01/1997,41
Sheila Litecky,30/07/1997,41
Dwight Roland,12/04/1997,41
Jeff Howell,13/09/1995,41
Dominique Heuser,20/09/1997,40
Todd Thompson,13/10/1995,40
Pamela Saltzman,06/03/1997,40
Vicki Jacobs,14/11/1995,40
Carolyn Levins,06/03/1997,40
Stephanie Dolphin,08/11/1997,40
William Nork,21/06/1994,39
Patricia Nelson,06/04/1996,39
Debora Dukes,23/11/1993,39
Eva Mulder,28/05/1997,39
John Maynard,23/12/1995,39
Michelle Mcgriff,30/12/1996,39
Isaac Myers,01/03/1994,39
Vickie Carlos,21/11/1995,39
Ramon Copper,12/11/1997,39
Sharon Davis,18/10/1990,39
Allison Larsen,16/10/1993,39
James Adams,16/06/1992,39
Betty Kessler,17/11/1995,39
George Combs,14/02/1997,39
Debra Brown,19/11/1994,38
Woodrow Johnston,28/09/1996,38
Stacy Judd,02/06/1992,38
Richard Davis,16/09/1994,38
Wesley Blaisdell,09/04/1997,38
Claire Miller,15/09/1994,38
Ruby Pace,24/07/1996,38
Samuel Casanova,12/03/1990,38
Sarah Mckeon,02/06/1996,38
Michelle Riesner,18/11/1997,38
Willis Stewart,21/04/1997,37
Debra Kelley,12/10/1996,37
Eula Wright,20/11/1995,37
Jean Lotts,07/12/1996,37
Lillie Sikes,27/06/1995,37
Arlene Broadnax,23/04/1997,37
Holly Walker,25/04/1996,37
Thomas Perez,22/02/1994,37
Suzanne Bartley,03/09/1997,37
James Lundborg,02/05/1996,37
Thomas Harbert,21/07/1997,37
Marion Marceau,20/11/1993,37
Toby Baker,29/02/1996,37
Barbara Brahler,03/11/1995,37
Amanda Darroch,21/10/1990,36
Inez Ward,20/10/1994,36
Michael Pace,26/09/1991,36
Kevin Franklin,31/05/1997,36
Kenneth Hooker,27/05/1990,36
Deborah Woods,10/05/1994,36
Daniel Smalls,04/07/1996,36
John Panchik,16/09/1995,36
Virginia Orr,18/10/1995,36
Evelyn Garcia,11/05/1997,36
Earl Gafford,30/09/1996,36
Elizabeth Wolley,29/12/1995,35
Sherry Wilder,26/04/1992,35
Nadine Rigney,08/10/1996,35
Leonard Russell,09/04/1995,35
Antonio Woosley,26/03/1994,35
Sean Bishop,23/06/1996,35
Gayla Marroquin,02/04/1996,35
Martha Fitzpatrick,04/11/1996,35
Thomas Palomo,09/07/1997,35
Jamie Abbott,11/10/1996,35
Louise Rush,24/04/1997,34
Sandra Gavenda,24/04/1997,34
Tabitha Bower,21/08/1994,34
Judith Wyatt,16/01/1995,34
Christopher Orgill,24/06/1996,34
Anthony Hullinger,02/07/1997,34
Jeanette Kiser,16/01/1997,34
Cynthia Kennedy,09/07/1996,34
James Scott,29/11/1996,34
James Honor,09/02/1996,34
Ardis Haley,29/05/1996,34
Leisa Knight,03/06/1995,33
Barry Lynn,24/09/1997,33
Kenny Vandervort,17/10/1995,33
Frank White,10/02/1996,33
Emanuel Furman,25/11/1997,33
Katherine Gore,30/03/1996,33
William Becker,20/06/1997,33
Fred Aderholt,25/10/1996,33
Joan Gatewood,29/03/1997,33
Joseph Higgins,09/05/1993,33
Janis Cook,13/03/1996,33
John Vildosola,29/05/1996,33
Benjamin Collins,25/06/1997,33
Debbie Kern,06/08/1996,33
Domingo Banks,12/06/1994,33
Elizabeth Perry,23/04/1996,33
Jose Goldman,15/10/1992,32
Ethel Gordon,16/04/1997,32
Charlotte Samuels,04/08/1992,32
Kelly Gagnon,18/08/1995,32
James Burns,27/10/1995,32
Terri Kennedy,17/12/1993,32
Hazel Olberding,16/04/1996,32
Elease Dicus,24/09/1994,32
Alan Shoemake,28/10/1996,32
Richard Hayhoe,05/06/1997,32
Rhonda Hammond,26/09/1996,32
Matthew Foster,04/08/1996,31
Libby Locke,13/09/1996,31
Felix Graham,12/11/1997,31
Donald Ortiz,22/05/1997,31
Geraldine Fried,27/10/1996,31
Denise Sullivan,14/11/1995,31
Laura Ingram,22/06/1996,31
Matthew Ford,05/11/1994,31
Ross Peele,03/10/1992,31
Amy Keena,03/10/1996,31
Stanley Barnett,22/04/1995,31
William Legg,09/05/1996,31
Kim Rutledge,20/06/1997,31
Melvin Jones,08/07/1992,31
Coleen Kraus,17/07/1995,31
Isreal Mathis,23/11/1994,30
Carmen Frix,09/05/1996,30
Keith Rains,15/12/1996,30
James Baker,21/01/1996,30
Betty Rowold,21/05/1995,30
Julie Ramirez,04/07/1997,30
April Thompson,28/07/1996,30
Joaquin Gist,12/11/1993,30
Gary Hansberger,08/02/1995,30
Jason Shepard,09/10/1996,30
John Gilstrap,14/10/1996,30
Jean Goldsmith,02/04/1996,29
John Thompson,17/01/1995,29
Jeffrey Piro,07/04/1997,29
James Rainey,13/08/1996,29
Phillip Brown,08/02/1997,29
Blanch Graven,26/02/1996,29
Ricardo Hedman,07/11/1995,29
Steven Lee,14/01/1997,29
Jeremy Garbe,04/01/1996,29
Sean Cole,05/01/1997,29
Irma Tseng,03/11/1996,29
Susan Hart,13/01/1996,29
Kenneth Towns,16/08/1997,29
Freddie Longoria,20/04/1996,29
Leroy Samela,27/12/1996,29
John Gill,18/01/1996,29
April Jones,13/10/1997,29
Henry Rios,05/02/1996,29
Jackie Henson,21/10/1993,28
Maria Mcswain,16/03/1997,28
Chester Garske,08/06/1997,28
Kimberly Barksdale,05/03/1996,28
Samuel Zubiate,09/03/1995,28
Victoria Moak,16/07/1994,28
Kirk Muniz,19/12/1996,28
Nancy Simoneavd,11/12/1997,28
Mary Alvarez,20/07/1993,28
Bonnie Mitchell,12/03/1997,28
Jennifer Linder,12/08/1997,28
Irma Cruz,21/01/1997,28
Olin Holladay,25/07/1997,28
Maurice Dyer,06/01/1995,28
Bridgett Collins,04/12/1995,28
Jerry Beavers,28/03/1996,28
Jerry Tracy,17/07/1997,28
Alfredo Vinci,08/03/1997,28
Brandon Moore,25/10/1994,28
Amy Soto,28/05/1997,28
James Jensen,20/11/1996,28
Joann Bright,26/02/1993,27
Amanda Carnes,12/10/1991,27
Jerome May,04/09/1997,27
Larry Coffman,03/06/1996,27
Nicholas Lewis,04/06/1995,27
Rogelio Garrett,16/09/1996,27
Jose Byassee,24/10/1995,27
Virginia Blackmon,15/10/1995,27
Nathaniel Malpass,02/07/1997,27
Georgia Stabler,18/09/1993,27
Mary Lofton,23/04/1996,27
James Faulkner,23/05/1997,27
John Sanos,02/06/1991,27
Tiffany Lee,17/07/1994,27
William Jones,05/05/1997,26
David Schaefer,26/03/1995,26
Mary Bell,17/08/1995,26
Phyllis Howlett,06/09/1993,26
Yvonne Knowles,03/02/1997,26
Marsha Kennedy,27/08/1997,26
Patrick Meehan,22/12/1996,26
Megan Lenoir,12/10/1997,26
Michael Sutton,05/12/1996,26
Erma Lopez,15/03/1996,26
Anna Morris,15/02/1995,26
James Albers,25/11/1996,26
Donna Dengler,25/10/1997,26
Diane Hayes,27/03/1997,25
Patricia Johnson,07/03/1994,25
Ann Mcguigan,02/04/1995,25
Beatriz Wells,01/07/1995,25
Phyliss Bisson,22/08/1996,25
Arthur Wall,29/02/1996,25
John Shipman,09/12/1994,25
Theresa Dixon,28/12/1994,25
Linda Holstine,10/04/1997,25
Martha Burton,18/06/1992,25
Krystal Curtis,01/03/1996,25
Shawn Jimeson,02/09/1996,25
Emily Lund,06/06/1996,25
Lana Cash,08/09/1992,25
Helena Carranza,10/03/1997,24
Clinton Robinson,15/08/1996,24
Chris Mayer,14/04/1996,24
Lettie Bloom,15/03/1994,24
Kayla Coggins,17/05/1997,24
Joseph Kelly,01/11/1993,24
Frances Saleado,20/07/1997,24
Charles Ramos,07/10/1996,24
Dalia Bonanno,10/11/1996,24
Larry Reeder,07/08/1994,24
Juan Goodnight,17/08/1992,24
David Clouston,19/03/1996,24
Linda Eaton,21/08/1993,24
Judy Livingston,10/11/1996,24
Dawn Burns,06/04/1996,24
Natasha Temple,12/05/1997,24
Jessica Flynn,04/10/1997,24
Eleanor Peters,03/06/1994,23
Marina Ryan,06/08/1994,23
Michelle Bennett,23/02/1991,23
Lydia Howard,03/06/1996,23
Lora Emerald,30/06/1996,23
Jennifer Miller,16/09/1996,23
Laura Buchwald,06/04/1995,23
Juan Chandler,22/10/1996,23
Alicia Turnage,02/06/1997,23
William Couch,15/03/1996,23
Joel Heller,10/10/1992,23
Jay Mitchell,12/12/1996,23
Andres Burns,06/05/1997,23
Angelica Ruiz,04/04/1994,23
Johnnie Plackett,23/09/1995,23
Jonathan Kats,31/05/1995,23
Tara Gonzalez,23/07/1995,23
Tad Lopez,09/08/1996,23
James Sanchez,24/12/1996,23
Steven Woodlin,25/01/1996,23
Billy Willick,14/10/1995,23
Margarita Sanchez,30/08/1995,23
Kevin Kahalehoe,15/11/1995,23
Carl Uson,03/07/1996,23
James Hemingway,10/05/1996,23
Robert Murray,21/04/1995,23
Cora Gibson,12/01/1997,23
Kathryn Chapman,18/08/1995,23
Richard Gwinn,09/07/1994,23
Kenneth Caldeira,15/09/1995,23
Brenda Baker,16/08/1995,22
Jeffrey Peoples,19/03/1997,22
Dan Ragusa,07/06/1997,22
Andrea Hutton,18/04/1991,22
Heather Koehl,02/04/1993,22
Evelyn Bonita,23/09/1996,22
Kathleen Hellwig,13/09/1997,22
David Phillips,12/04/1997,22
Adam Berry,02/11/1995,21
Angelo Kessler,05/04/1996,21
Cyndy Allendorf,10/10/1995,21
Valeria Vickers,12/11/1996,21
Simon Hendricks,23/09/1992,21
Russell Segura,30/12/1994,21
Michael Schmidtke,23/06/1995,21
Matthew Stamour,24/09/1996,21
Zoraida Hendrix,26/06/1996,21
James Richardson,12/04/1995,21
Jill Marshall,29/06/1996,21
Joan Robinson,22/04/1996,21
Dora Sims,15/08/1996,20
Michael Denton,13/10/1996,20
Gloria Palmer,01/11/1996,20
Kathryn Starr,11/03/1996,20
Ellen Roberts,05/08/1997,20
Rosalba Vazquez,02/09/1997,20
James Alfieri,06/07/1997,20
Corey Jackson,07/09/1990,20
Ernest Stewart,26/09/1997,20
Robert Pickert,06/08/1995,20
Myron Richardson,12/06/1996,20
Phillip Daley,12/03/1995,20
Donald Hammond,15/03/1993,20
Pearlie Malinowski,29/01/1994,20
Lawrence Girouard,13/08/1996,19
James Koval,27/05/1997,19
Yvonne Kouba,25/08/1997,19
Michael Hill,16/02/1997,19
Matthew Hopper,15/09/1996,19
Jesse Mcclung,13/09/1997,19
Maria Prevost,20/10/1996,19
Marylin Hughes,10/08/1994,19
Josefina Armstrong,06/05/1997,19
Jennell Thompson,24/02/1996,19
Kevin Leonard,11/06/1995,19
William Dowd,18/06/1996,19
Timothy Sharp,17/02/1997,19
Virginia Smith,02/02/1995,19
Mae Trent,29/11/1996,19
Gerald Orozco,05/10/1990,19
Tina Taylor,03/05/1995,19
Anne Bauer,14/12/1997,19
Tim Reinsfelder,26/01/1997,19
Cory Simpson,01/07/1997,19
Kendall Burgos,05/04/1997,18
Michelle Moore,13/08/1996,18
Nadine Benton,26/02/1997,18
Claude Stein,01/03/1996,18
Rebecca Marusarz,26/11/1994,18
Charles Shearer,14/08/1996,18
Phyllis Cannon,16/09/1997,18
Debra Nunnery,08/04/1996,18
Paul Ollendick,25/07/1996,18
Oren Rodgers,27/06/1997,18
Mary Curtis,08/05/1997,18
Becky Atherton,01/09/1995,18
Phillip Harris,23/12/1995,17
Lisa Walker,14/09/1996,17
Kimberly Monroe,30/11/1995,17
Rita Valasquez,18/08/1995,17
Kim Langer,13/06/1997,17
Shirley Laswell,14/11/1992,17
Lisa Abbott,25/01/1995,17
Johnnie Mcmillan,25/01/1997,17
Thomas Cuccia,24/01/1997,17
Rebecca Morris,10/09/1997,17
George Black,17/06/1994,17
Michael Pitts,16/01/1997,17
Rhoda Carmack,07/12/1996,17
Sandra Lannier,14/01/1997,17
Sylvia Bailey,10/04/1996,17
Louise Horabik,10/04/1994,17
Leona Meinke,22/08/1997,17
Kathleen Zerbe,06/06/1996,17
Salvador Judd,31/05/1997,16
David Kutz,11/07/1993,16
Troy Poche,21/02/1993,16
Jennine Robertson,11/04/1997,16
Domingo Gonzales,14/09/1994,16
Cathy Courtwright,26/03/1997,16
Eleanor Snyder,12/02/1996,16
James Cepeda,14/10/1996,16
Thomas Roberts,25/05/1995,16
Goldie Allred,28/10/1996,16
Virginia Gresham,09/11/1996,16
Amy Challenger,16/08/1995,16
Christopher Neri,10/06/1996,16
James Szymanski,19/09/1996,16
Jimmy Figueroa,09/02/1997,15
David Mccarthy,25/04/1994,15
Valerie Smith,27/12/1995,15
Paz James,19/01/1995,15
Joshua Penttila,08/12/1996,15
Tim Amezquita,09/04/1997,15
Troy Gilmore,24/05/1996,15
Russell Osborn,27/07/1996,15
Keith Gienger,10/04/1996,15
Michael Hope,22/09/1997,15
Matthew Taylor,07/08/1996,15
James Schmid,31/10/1993,15
Thomas Goleman,07/02/1996,14
Rachael Mcroberts,31/07/1995,14
April King,02/05/1997,14
Theodore Roper,07/06/1995,14
Amy Cass,31/08/1995,14
Amanda Paquette,14/12/1997,14
William Johnson,13/11/1996,14
Oscar Charles,03/01/1996,14
Jennifer Chung,12/05/1997,14
Shirley Arnold,22/07/1997,14
Claude Rice,01/03/1997,14
Donna Krick,05/06/1995,14
Donald Rangel,07/12/1996,14
George Andrews,29/09/1996,14
Eric Tipton,26/06/1996,14
Eunice Esparza,01/12/1995,14
Marcelo Bourgeois,10/08/1994,14
Gladys Woodman,10/01/1995,14
Louis Rowland,01/04/1997,14
Megan Faines,18/06/1997,14
Thomas Adkins,14/09/1995,13
Justin Jackson,17/12/1996,13
Mark Murphy,15/11/1995,13
Stephen Moskovitz,27/08/1996,13
Mary Dicicco,31/03/1995,13
Paula Spencer,30/01/1997,13
Marcus Jones,09/03/1995,13
Eric Shelton,13/05/1997,13
Juan Copeland,12/08/1994,13
Sara Schlueter,29/11/1990,12
Vanessa Roberts,18/09/1996,12
Edward Capps,04/06/1996,12
Jean Ketchum,06/05/1997,12
Charles Howard,30/07/1996,12
Robin Jones,14/07/1992,12
Rena Eades,16/10/1995,12
David Rufino,02/11/1997,12
Margaret Jones,09/08/1996,12
Ralph Tom,08/02/1997,12
Russell Strader,09/03/1995,12
Peter Giannetti,18/11/1994,12
Timothy Bembry,22/09/1996,11
Shirley Belz,02/11/1996,11
Jack Bueckers,25/06/1996,11
Kenneth Hartley,14/10/1997,11
Mark Dessert,24/09/1995,11
Rosella Fortin,22/11/1997,11
Leonard Hart,27/04/1994,11
Brenda Whitt,27/11/1997,11
Michael Richardson,11/12/1995,11
Sergio Dean,02/08/1996,11
Doris Ramirez,17/05/1992,11
Jack Miranda,24/06/1997,11
James Bowen,27/03/1994,11
Patrick Gaff,18/10/1996,11
Teresa Johnson,21/06/1997,10
Dennis Sharp,11/08/1996,10
Ofelia Sexton,27/10/1995,10
Janine Saur,11/01/1997,10
Kimberly Huffman,14/07/1994,10
Robert Ray,31/12/1995,10
Donald Shambo,23/10/1994,10
Robert Taylor,19/10/1997,10
Robert Hovermale,22/07/1996,10
Ruth Delgado,18/09/1995,10
Timothy Carroll,04/03/1994,10
Florence Narain,21/08/1997,10
Lisa Macpartland,08/06/1997,10
Larry Drabant,03/09/1996,10
Amber Thomas,07/01/1997,10
Larry Schlager,23/10/1993,10
Brian Rodriguez,28/05/1996,10
Samantha Gramm,02/08/1996,9
Theresa Brucato,07/11/1994,9
Mathilde Galligan,11/09/1996,9
Sam Modi,23/05/1996,9
Bradley Smith,31/03/1994,9
Theresa Flannery,23/02/1997,9
Kelsey Hardiman,08/02/1996,9
Allen Brown,01/04/1997,9
Frances Robinson,25/02/1996,9
Adam Dorsette,07/12/1996,9
Mae Abbott,20/10/1995,9
Joyce Williams,26/09/1992,9
Debbie Kimmons,02/12/1996,9
Margo Ward,14/07/1995,9
David Herring,07/11/1995,9
