name                ,dob       ,visit_date,date      ,theft_date
Effie Garcia        ,14/11/1994,2016-01-07,2016-01-07,
Claire Miller       ,15/09/1994,2016-01-07,2016-01-07,
Ruby Stott          ,31/08/1994,2016-01-07,2016-01-07,
Emelda Clay         ,29/08/1994,2016-01-07,2016-01-07,
Janice Mcnatt       ,28/08/1994,2016-01-07,2016-01-07,
Marcellus Hau       ,24/08/1994,2016-01-07,2016-01-07,
Barbara Mchale      ,19/12/1994,2016-01-07,2016-01-07,
Spencer Spencer     ,13/10/1991,2016-01-07,2016-01-07,
Sherry Stewart      ,07/06/1996,2016-01-07,2016-01-07,
Henry Brunson       ,21/06/1996,2016-01-07,2016-01-07,
German Gallian      ,12/06/1997,2016-01-07,2016-01-07,
Joseph Franklin     ,08/06/1997,2016-01-07,2016-01-07,
Chester Garske      ,08/06/1997,2016-01-07,2016-01-07,
Dan Ragusa          ,07/06/1997,2016-01-07,2016-01-07,
Richard Hayhoe      ,05/06/1997,2016-01-07,2016-01-07,
Christopher Mather  ,02/06/1997,2016-01-07,2016-01-07,
Marisa Smiley       ,23/05/1997,2016-01-07,2016-01-07,
Lawrence Olsen      ,15/05/1997,2016-01-07,2016-01-07,
Charles Crandall    ,12/05/1997,2016-01-07,2016-01-07,
Donna Riess         ,01/05/1997,2016-01-07,2016-01-07,
Kellie Florio       ,13/06/1997,2016-01-07,2016-01-07,
Jack Hawkins        ,30/04/1997,2016-01-07,2016-01-07,
Willis Stewart      ,21/04/1997,2016-01-07,2016-01-07,
Ethel Gordon        ,16/04/1997,2016-01-07,2016-01-07,
Anthony Scavone     ,16/04/1997,2016-01-07,2016-01-07,
Adrienne Raney      ,16/04/1997,2016-01-07,2016-01-07,
Jennine Robertson   ,11/04/1997,2016-01-07,2016-01-07,
Jeanette Stupar     ,10/04/1997,2016-01-07,2016-01-07,
Wesley Blaisdell    ,09/04/1997,2016-01-07,2016-01-07,
Shirley Saucedo     ,02/04/1997,2016-01-07,2016-01-07,
Dean Jennings       ,30/03/1997,2016-01-07,2016-01-07,
Kim Palmer          ,27/03/1997,2016-01-07,2016-01-07,
Sandra Gavenda      ,24/04/1997,2016-01-07,2016-01-07,
Mark Powers         ,23/03/1997,2016-01-07,2016-01-07,
Beverly Pimentel    ,20/06/1997,2016-01-07,2016-01-07,
Michael Alvarado    ,05/07/1997,2016-01-07,2016-01-07,
Ramon Copper        ,12/11/1997,2016-01-07,2016-01-07,
Stephanie Dolphin   ,08/11/1997,2016-01-07,2016-01-07,
David Rufino        ,02/11/1997,2016-01-07,2016-01-07,
Louis Timchula      ,07/10/1997,2016-01-07,2016-01-07,
Daniel Guzman       ,04/10/1997,2016-01-07,2016-01-07,
Robert Parker       ,01/10/1997,2016-01-07,2016-01-07,
Keith Sharp         ,23/09/1997,2016-01-07,2016-01-07,
Alice Seidel        ,18/09/1997,2016-01-07,2016-01-07,
Phyllis Cannon      ,16/09/1997,2016-01-07,2016-01-07,
Gayle Alexander     ,16/09/1997,2016-01-07,2016-01-07,
Teresa Johnson      ,21/06/1997,2016-01-07,2016-01-07,
Lucille Bell        ,07/09/1997,2016-01-07,2016-01-07,
Isreal Jones        ,05/09/1997,2016-01-07,2016-01-07,
Donald Reddout      ,29/08/1997,2016-01-07,2016-01-07,
Marsha Kennedy      ,27/08/1997,2016-01-07,2016-01-07,
Florence Narain     ,21/08/1997,2016-01-07,2016-01-07,
Kenneth Towns       ,16/08/1997,2016-01-07,2016-01-07,
Raymond Shannon     ,06/08/1997,2016-01-07,2016-01-07,
Barbara Grams       ,03/08/1997,2016-01-07,2016-01-07,
Lucia Burkett       ,30/07/1997,2016-01-07,2016-01-07,
Russell Jordan      ,11/07/1997,2016-01-07,2016-01-07,
Teresa Bahlmann     ,09/07/1997,2016-01-07,2016-01-07,
Melody Whitlock     ,05/09/1997,2016-01-07,2016-01-07,
Jason Villegas      ,08/06/1996,2016-01-07,2016-01-07,
Thomas Kim          ,19/03/1997,2016-01-07,2016-01-07,
Shirley Walter      ,04/03/1997,2016-01-07,2016-01-07,
Rhonda Hammond      ,26/09/1996,2016-01-07,2016-01-07,
Brittany Calvert    ,18/09/1996,2016-01-07,2016-01-07,
Matthew Hopper      ,15/09/1996,2016-01-07,2016-01-07,
Libby Locke         ,13/09/1996,2016-01-07,2016-01-07,
Arthur Freund       ,07/09/1996,2016-01-07,2016-01-07,
Janet Greene        ,06/09/1996,2016-01-07,2016-01-07,
Michael Walden      ,03/09/1996,2016-01-07,2016-01-07,
Maude Faulkner      ,02/09/1996,2016-01-07,2016-01-07,
Leroy Gennaro       ,30/08/1996,2016-01-07,2016-01-07,
Cynthia Allen       ,29/08/1996,2016-01-07,2016-01-07,
Lucia Davis         ,22/08/1996,2016-01-07,2016-01-07,
Vivian Gibson       ,20/08/1996,2016-01-07,2016-01-07,
Cassidy Williams    ,14/08/1996,2016-01-07,2016-01-07,
Leroy Smith         ,09/08/1996,2016-01-07,2016-01-07,
Joelle Grimaud      ,03/08/1996,2016-01-07,2016-01-07,
Sergio Dean         ,02/08/1996,2016-01-07,2016-01-07,
Myra Segura         ,28/07/1996,2016-01-07,2016-01-07,
Nellie Carney       ,19/07/1996,2016-01-07,2016-01-07,
Felicia Preece      ,09/07/1996,2016-01-07,2016-01-07,
Doris Wilson        ,28/06/1996,2016-01-07,2016-01-07,
Eric Tipton         ,26/06/1996,2016-01-07,2016-01-07,
George Andrews      ,29/09/1996,2016-01-07,2016-01-07,
Bryant Ahearn       ,08/03/1997,2016-01-07,2016-01-07,
Justin Godoy        ,30/09/1996,2016-01-07,2016-01-07,
Sanford Huffman     ,02/10/1996,2016-01-07,2016-01-07,
Timothy Sharp       ,17/02/1997,2016-01-07,2016-01-07,
David Graves        ,03/02/1997,2016-01-07,2016-01-07,
Earl Weber          ,24/01/1997,2016-01-07,2016-01-07,
Irma Cruz           ,21/01/1997,2016-01-07,2016-01-07,
Lillian Mcnair      ,19/01/1997,2016-01-07,2016-01-07,
Gerald Butts        ,17/01/1997,2016-01-07,2016-01-07,
Mohammad Simonds    ,12/01/1997,2016-01-07,2016-01-07,
William Bench       ,04/01/1997,2016-01-07,2016-01-07,
Michelle Mcgriff    ,30/12/1996,2016-01-07,2016-01-07,
Jenni Ager          ,01/10/1996,2016-01-07,2016-01-07,
Christi Macpartland ,11/12/1996,2016-01-07,2016-01-07,
Gary Arnold         ,30/12/1996,2016-01-07,2016-01-07,
Dan Saunders        ,06/12/1996,2016-01-07,2016-01-07,
James Scott         ,29/11/1996,2016-01-07,2016-01-07,
Christine Victoria  ,26/11/1996,2016-01-07,2016-01-07,
James Albers        ,25/11/1996,2016-01-07,2016-01-07,
Willie Gould        ,08/11/1996,2016-01-07,2016-01-07,
Shawn Niebaum       ,06/11/1996,2016-01-07,2016-01-07,
Craig Burks         ,04/11/1996,2016-01-07,2016-01-07,
Geraldine Fried     ,27/10/1996,2016-01-07,2016-01-07,
Jason Shepard       ,09/10/1996,2016-01-07,2016-01-07,
Cecil Fryer         ,07/10/1996,2016-01-07,2016-01-07,
Jean Lotts          ,07/12/1996,2016-01-07,2016-01-07,
Amanda Carnes       ,12/10/1991,2016-01-07,2016-01-07,
Nancy Simoneavd     ,11/12/1997,2016-01-08,2016-01-08,2016-01-08
Harry Corona        ,15/11/1997,2016-01-08,2016-01-08,2016-01-08
Gary Mullis         ,27/11/1989,2016-01-08,2016-01-08,2016-01-08
Amanda Carnes       ,12/10/1991,2016-01-08,2016-01-08,2016-01-08
Daniel Guzman       ,04/10/1997,2016-01-08,2016-01-08,2016-01-08
Gayle Alexander     ,16/09/1997,2016-01-08,2016-01-08,2016-01-08
Ana Coleman         ,05/11/1997,2016-01-08,2016-01-08,2016-01-08
Sharon Barton       ,08/09/1997,2016-01-08,2016-01-08,2016-01-08
Thaddeus Diaz       ,09/10/1995,2016-01-08,2016-01-08,2016-01-08
Cynthia Corbin      ,21/09/1995,2016-01-08,2016-01-08,2016-01-08
Kathleen Benzi      ,15/09/1995,2016-01-08,2016-01-08,2016-01-08
Marcia Coleman      ,08/09/1995,2016-01-08,2016-01-08,2016-01-08
Coleen Boender      ,05/09/1995,2016-01-08,2016-01-08,2016-01-08
Babette Mitchell    ,27/08/1995,2016-01-08,2016-01-08,2016-01-08
Peter Romo          ,25/08/1995,2016-01-08,2016-01-08,2016-01-08
Thomas Cole         ,11/08/1995,2016-01-08,2016-01-08,2016-01-08
Thomas Conlon       ,07/08/1995,2016-01-08,2016-01-08,2016-01-08
David Lombardi      ,03/08/1995,2016-01-08,2016-01-08,2016-01-08
Wayne Roop          ,09/10/1995,2016-01-08,2016-01-08,2016-01-08
Ralph Brisson       ,26/07/1995,2016-01-08,2016-01-08,2016-01-08
Ronald Stovall      ,18/07/1995,2016-01-08,2016-01-08,2016-01-08
Robert Haine        ,14/07/1995,2016-01-08,2016-01-08,2016-01-08
Patrick Kerley      ,13/07/1995,2016-01-08,2016-01-08,2016-01-08
Adrienne Ruck       ,13/07/1995,2016-01-08,2016-01-08,2016-01-08
Karla Breaux        ,10/07/1995,2016-01-08,2016-01-08,2016-01-08
Lillie Sikes        ,27/06/1995,2016-01-08,2016-01-08,2016-01-08
Anita Ullrich       ,16/06/1995,2016-01-08,2016-01-08,2016-01-08
Kevin Leonard       ,11/06/1995,2016-01-08,2016-01-08,2016-01-08
Nicholas Acosta     ,05/06/1995,2016-01-08,2016-01-08,2016-01-08
Nicholas Lewis      ,04/06/1995,2016-01-08,2016-01-08,2016-01-08
Douglas Medina      ,19/07/1995,2016-01-08,2016-01-08,2016-01-08
Todd Thompson       ,13/10/1995,2016-01-08,2016-01-08,2016-01-08
Virginia Blackmon   ,15/10/1995,2016-01-08,2016-01-08,2016-01-08
Jerry Fritz         ,19/10/1995,2016-01-08,2016-01-08,2016-01-08
Toby Bright         ,13/09/1997,2016-01-08,2016-01-08,2016-01-08
Linda Gomez         ,08/03/1996,2016-01-08,2016-01-08,2016-01-08
Donna Hull          ,08/03/1996,2016-01-08,2016-01-08,2016-01-08
Laura Smith         ,05/03/1996,2016-01-08,2016-01-08,2016-01-08
Arthur Wall         ,29/02/1996,2016-01-08,2016-01-08,2016-01-08
Edgar Roth          ,19/02/1996,2016-01-08,2016-01-08,2016-01-08
Robert Ewing        ,09/02/1996,2016-01-08,2016-01-08,2016-01-08
John Davis          ,05/02/1996,2016-01-08,2016-01-08,2016-01-08
Henry Rios          ,05/02/1996,2016-01-08,2016-01-08,2016-01-08
Martha Jamison      ,17/01/1996,2016-01-08,2016-01-08,2016-01-08
Wes Carlson         ,13/01/1996,2016-01-08,2016-01-08,2016-01-08
Gabriela Cunningham ,10/01/1996,2016-01-08,2016-01-08,2016-01-08
Daniel Laster       ,31/12/1995,2016-01-08,2016-01-08,2016-01-08
Elizabeth Wolley    ,29/12/1995,2016-01-08,2016-01-08,2016-01-08
Johnie Johnson      ,28/12/1995,2016-01-08,2016-01-08,2016-01-08
Joseph Hirneise     ,18/12/1995,2016-01-08,2016-01-08,2016-01-08
Hulda Nogle         ,13/12/1995,2016-01-08,2016-01-08,2016-01-08
Guillermo Johnson   ,10/12/1995,2016-01-08,2016-01-08,2016-01-08
Dawn Douglas        ,10/12/1995,2016-01-08,2016-01-08,2016-01-08
Eula Wright         ,20/11/1995,2016-01-08,2016-01-08,2016-01-08
Karl Moore          ,19/11/1995,2016-01-08,2016-01-08,2016-01-08
Rafael Ellis        ,17/11/1995,2016-01-08,2016-01-08,2016-01-08
Jose Byassee        ,24/10/1995,2016-01-08,2016-01-08,2016-01-08
Leisa Knight        ,03/06/1995,2016-01-08,2016-01-08,2016-01-08
Edwin Oshea         ,27/05/1995,2016-01-08,2016-01-08,2016-01-08
Walter Chesnutt     ,24/05/1995,2016-01-08,2016-01-08,2016-01-08
Byron Wafford       ,21/05/1995,2016-01-08,2016-01-08,2016-01-08
Vincent Greene      ,29/07/1994,2016-01-08,2016-01-08,2016-01-08
Debbie Mcneil       ,12/07/1994,2016-01-08,2016-01-08,2016-01-08
George Black        ,17/06/1994,2016-01-08,2016-01-08,2016-01-08
Leonard Hart        ,27/04/1994,2016-01-08,2016-01-08,2016-01-08
David Mccarthy      ,25/04/1994,2016-01-08,2016-01-08,2016-01-08
Mary Laura          ,09/04/1994,2016-01-08,2016-01-08,2016-01-08
John Bona           ,22/03/1994,2016-01-08,2016-01-08,2016-01-08
Timothy Carroll     ,04/03/1994,2016-01-08,2016-01-08,2016-01-08
Jeffrey Lamb        ,14/01/1994,2016-01-08,2016-01-08,2016-01-08
Karen Keeney        ,25/12/1993,2016-01-08,2016-01-08,2016-01-08
Debora Dukes        ,23/11/1993,2016-01-08,2016-01-08,2016-01-08
Marion Marceau      ,20/11/1993,2016-01-08,2016-01-08,2016-01-08
Ray Martin          ,29/08/1993,2016-01-08,2016-01-08,2016-01-08
Judith Sanders      ,26/08/1993,2016-01-08,2016-01-08,2016-01-08
John Velis          ,17/06/1993,2016-01-08,2016-01-08,2016-01-08
Patricia Whitley    ,08/06/1993,2016-01-08,2016-01-08,2016-01-08
Dale Kirkwood       ,22/05/1993,2016-01-08,2016-01-08,2016-01-08
Joseph Higgins      ,09/05/1993,2016-01-08,2016-01-08,2016-01-08
Michael Mcbride     ,26/04/1993,2016-01-08,2016-01-08,2016-01-08
Heather Koehl       ,02/04/1993,2016-01-08,2016-01-08,2016-01-08
Joann Bright        ,26/02/1993,2016-01-08,2016-01-08,2016-01-08
Pablo Weidler       ,27/09/1992,2016-01-08,2016-01-08,2016-01-08
Tamara Horton       ,11/09/1992,2016-01-08,2016-01-08,2016-01-08
Marcellus Hau       ,24/08/1994,2016-01-08,2016-01-08,2016-01-08
William Couch       ,15/03/1996,2016-01-08,2016-01-08,2016-01-08
Janice Mcnatt       ,28/08/1994,2016-01-08,2016-01-08,2016-01-08
Ruby Stott          ,31/08/1994,2016-01-08,2016-01-08,2016-01-08
Fredrick Acevedo    ,07/05/1995,2016-01-08,2016-01-08,2016-01-08
Lyle Hemenway       ,03/05/1995,2016-01-08,2016-01-08,2016-01-08
Arthur Moon         ,23/04/1995,2016-01-08,2016-01-08,2016-01-08
Robert Murray       ,21/04/1995,2016-01-08,2016-01-08,2016-01-08
Jennifer Brown      ,19/04/1995,2016-01-08,2016-01-08,2016-01-08
Nathaniel Irving    ,18/04/1995,2016-01-08,2016-01-08,2016-01-08
Dorothy Elkins      ,12/04/1995,2016-01-08,2016-01-08,2016-01-08
Ann Mcguigan        ,02/04/1995,2016-01-08,2016-01-08,2016-01-08
Luz Connelly        ,26/03/1995,2016-01-08,2016-01-08,2016-01-08
Samuel Zubiate      ,09/03/1995,2016-01-08,2016-01-08,2016-01-08
Joseph Young        ,17/02/1995,2016-01-08,2016-01-08,2016-01-08
Judith Wyatt        ,16/01/1995,2016-01-08,2016-01-08,2016-01-08
Carl Dowling        ,09/01/1995,2016-01-08,2016-01-08,2016-01-08
Russell Segura      ,30/12/1994,2016-01-08,2016-01-08,2016-01-08
Barbara Mchale      ,19/12/1994,2016-01-08,2016-01-08,2016-01-08
Aaron Nelson        ,12/12/1994,2016-01-08,2016-01-08,2016-01-08
Roberto Fitzgerald  ,23/11/1994,2016-01-08,2016-01-08,2016-01-08
Michael Tade        ,17/11/1994,2016-01-08,2016-01-08,2016-01-08
Dong Brett          ,17/11/1994,2016-01-08,2016-01-08,2016-01-08
Joann Dimick        ,09/10/1994,2016-01-08,2016-01-08,2016-01-08
Robert Featherston  ,08/10/1994,2016-01-08,2016-01-08,2016-01-08
Richard Davis       ,16/09/1994,2016-01-08,2016-01-08,2016-01-08
Roberta Shelley     ,01/09/1994,2016-01-08,2016-01-08,2016-01-08
Emelda Clay         ,29/08/1994,2016-01-08,2016-01-08,2016-01-08
David Clouston      ,19/03/1996,2016-01-08,2016-01-08,2016-01-08
Kathryn Starr       ,11/03/1996,2016-01-08,2016-01-08,2016-01-08
Katherine Gore      ,30/03/1996,2016-01-08,2016-01-08,2016-01-08
Jennine Robertson   ,11/04/1997,2016-01-08,2016-01-08,2016-01-08
Deanne Fisher       ,08/04/1997,2016-01-08,2016-01-08,2016-01-08
Helen Morrill       ,30/03/1997,2016-01-08,2016-01-08,2016-01-08
Dean Jennings       ,30/03/1997,2016-01-08,2016-01-08,2016-01-08
Robin Wilson        ,22/03/1997,2016-01-08,2016-01-08,2016-01-08
Jeffrey Peoples     ,19/03/1997,2016-01-08,2016-01-08,2016-01-08
Maria Mcswain       ,16/03/1997,2016-01-08,2016-01-08,2016-01-08
Victor Worthy       ,14/03/1997,2016-01-08,2016-01-08,2016-01-08
Bryant Ahearn       ,08/03/1997,2016-01-08,2016-01-08,2016-01-08
Leslie Casey        ,07/03/1997,2016-01-08,2016-01-08,2016-01-08
Rosa Liu            ,14/04/1997,2016-01-08,2016-01-08,2016-01-08
Michael Hill        ,16/02/1997,2016-01-08,2016-01-08,2016-01-08
David Graves        ,03/02/1997,2016-01-08,2016-01-08,2016-01-08
Linda Vasquez       ,28/01/1997,2016-01-08,2016-01-08,2016-01-08
Johnnie Mcmillan    ,25/01/1997,2016-01-08,2016-01-08,2016-01-08
Irma Cruz           ,21/01/1997,2016-01-08,2016-01-08,2016-01-08
Gerald Butts        ,17/01/1997,2016-01-08,2016-01-08,2016-01-08
Jeanine Jones       ,16/01/1997,2016-01-08,2016-01-08,2016-01-08
Homer Castro        ,10/01/1997,2016-01-08,2016-01-08,2016-01-08
Amber Thomas        ,07/01/1997,2016-01-08,2016-01-08,2016-01-08
William Bench       ,04/01/1997,2016-01-08,2016-01-08,2016-01-08
Herman Briggs       ,29/03/1996,2016-01-08,2016-01-08,2016-01-08
Yvonne Knowles      ,03/02/1997,2016-01-08,2016-01-08,2016-01-08
Adrienne Raney      ,16/04/1997,2016-01-08,2016-01-08,2016-01-08
Willis Stewart      ,21/04/1997,2016-01-08,2016-01-08,2016-01-08
Robert Zohn         ,22/04/1997,2016-01-08,2016-01-08,2016-01-08
Melody Whitlock     ,05/09/1997,2016-01-08,2016-01-08,2016-01-08
Leona Meinke        ,22/08/1997,2016-01-08,2016-01-08,2016-01-08
Heather Baxter      ,21/08/1997,2016-01-08,2016-01-08,2016-01-08
Barbara Grams       ,03/08/1997,2016-01-08,2016-01-08,2016-01-08
Frank Figueroa      ,23/07/1997,2016-01-08,2016-01-08,2016-01-08
Thomas Harbert      ,21/07/1997,2016-01-08,2016-01-08,2016-01-08
Charles Betts       ,18/07/1997,2016-01-08,2016-01-08,2016-01-08
Deborah Peralez     ,08/07/1997,2016-01-08,2016-01-08,2016-01-08
Anthony Hullinger   ,02/07/1997,2016-01-08,2016-01-08,2016-01-08
Fred Barnette       ,19/06/1997,2016-01-08,2016-01-08,2016-01-08
Joseph Franklin     ,08/06/1997,2016-01-08,2016-01-08,2016-01-08
Chester Garske      ,08/06/1997,2016-01-08,2016-01-08,2016-01-08
Polly Mujalli       ,28/05/1997,2016-01-08,2016-01-08,2016-01-08
Gertrude Giglio     ,25/05/1997,2016-01-08,2016-01-08,2016-01-08
Ada Tejeda          ,24/05/1997,2016-01-08,2016-01-08,2016-01-08
Marisa Smiley       ,23/05/1997,2016-01-08,2016-01-08,2016-01-08
Donald Ortiz        ,22/05/1997,2016-01-08,2016-01-08,2016-01-08
Charles Crandall    ,12/05/1997,2016-01-08,2016-01-08,2016-01-08
Loretta Massey      ,11/05/1997,2016-01-08,2016-01-08,2016-01-08
Thomas Vanderwal    ,06/05/1997,2016-01-08,2016-01-08,2016-01-08
Jean Ketchum        ,06/05/1997,2016-01-08,2016-01-08,2016-01-08
April King          ,02/05/1997,2016-01-08,2016-01-08,2016-01-08
Arlene Broadnax     ,23/04/1997,2016-01-08,2016-01-08,2016-01-08
Kirk Muniz          ,19/12/1996,2016-01-08,2016-01-08,2016-01-08
Jay Mitchell        ,12/12/1996,2016-01-08,2016-01-08,2016-01-08
Olivia Aspinall     ,24/12/1996,2016-01-08,2016-01-08,2016-01-08
Joshua Penttila     ,08/12/1996,2016-01-08,2016-01-08,2016-01-08
Florine Kim         ,14/07/1996,2016-01-08,2016-01-08,2016-01-08
Christi Macpartland ,11/12/1996,2016-01-08,2016-01-08,2016-01-08
Christopher Orgill  ,24/06/1996,2016-01-08,2016-01-08,2016-01-08
Laura Ingram        ,22/06/1996,2016-01-08,2016-01-08,2016-01-08
Henry Brunson       ,21/06/1996,2016-01-08,2016-01-08,2016-01-08
Jennifer Gearhart   ,14/06/1996,2016-01-08,2016-01-08,2016-01-08
Jason Villegas      ,08/06/1996,2016-01-08,2016-01-08,2016-01-08
Clayton Hudson      ,04/06/1996,2016-01-08,2016-01-08,2016-01-08
Jennifer Savage     ,31/05/1996,2016-01-08,2016-01-08,2016-01-08
Brian Rodriguez     ,28/05/1996,2016-01-08,2016-01-08,2016-01-08
Stephanie Malinowski,18/05/1996,2016-01-08,2016-01-08,2016-01-08
Roger Ballance      ,16/05/1996,2016-01-08,2016-01-08,2016-01-08
Cynthia Dominquez   ,16/05/1996,2016-01-08,2016-01-08,2016-01-08
John Flora          ,15/05/1996,2016-01-08,2016-01-08,2016-01-08
Betty Young         ,15/05/1996,2016-01-08,2016-01-08,2016-01-08
George Walters      ,04/05/1996,2016-01-08,2016-01-08,2016-01-08
Elizabeth Perry     ,23/04/1996,2016-01-08,2016-01-08,2016-01-08
Joan Robinson       ,22/04/1996,2016-01-08,2016-01-08,2016-01-08
Sharleen Johnson    ,17/04/1996,2016-01-08,2016-01-08,2016-01-08
Sylvia Bailey       ,10/04/1996,2016-01-08,2016-01-08,2016-01-08
James Smith         ,10/04/1996,2016-01-08,2016-01-08,2016-01-08
