name,dob,theft_count
Willie Gould,08/11/1996,15
Zenobia Yahna,19/02/1997,15
Brenda Mathis,15/01/1995,15
Cheryl Harris,30/07/1996,15
Russell Jordan,11/07/1997,15
Keith Hayward,09/09/1996,15
Melody Whitlock,05/09/1997,15
Lucy Watson,11/09/1996,15
Brittany Calvert,18/09/1996,15
Joseph Hirneise,18/12/1995,15
Fred Barnette,19/06/1997,15
Evalyn Kenney,14/11/1996,15
Carey Hamilton,10/07/1994,15
Emelda Clay,29/08/1994,15
Mary Hill,19/08/1997,15
Edgar Roth,19/02/1996,15
Spencer Spencer,13/10/1991,14
Ricky Ruiz,27/07/1997,14
Lisa Gustavson,22/05/1997,14
Ivan Sundby,23/12/1996,14
Justin Achenbach,29/06/1996,14
Ruth Vise,01/09/1996,14
Eugene Velo,25/01/1997,14
Katrina Beasley,06/03/1997,14
Herman Briggs,29/03/1996,14
Bryant Ahearn,08/03/1997,14
Roger Williams,10/04/1997,14
Fred Massenburg,02/12/1996,14
Nathaniel Irving,18/04/1995,14
Walter Chesnutt,24/05/1995,14
Guillermo Johnson,10/12/1995,14
Margaret Hickman,08/01/1996,14
Janet Greene,06/09/1996,14
Jeanine Jones,16/01/1997,14
Nicholas Acosta,05/06/1995,14
Jimmy Smiley,19/04/1996,14
Susan Medina,17/11/1996,14
Jeffrey Snow,09/09/1996,14
Freda Shepardson,28/02/1994,14
Hector Selman,20/01/1997,13
Dwight Roland,12/04/1997,13
Gary Arnold,30/12/1996,13
Ronald Snook,03/01/1996,13
Robin Wilson,22/03/1997,13
Lyle Hemenway,03/05/1995,13
Sarah Wilds,08/09/1995,13
Roberta Miller,25/06/1992,13
Sheila Litecky,30/07/1997,13
Felicia Preece,09/07/1996,13
Debora Dukes,23/11/1993,13
Franklin Olson,29/04/1994,13
Deborah Rosenfeld,14/07/1995,13
Robert Tweed,29/03/1996,13
Robert Williams,02/04/1993,13
Adam Johnson,11/04/1996,13
George Walters,04/05/1996,13
Linda Vasquez,28/01/1997,13
Henry Torres,02/05/1996,13
Bruce Killeen,23/05/1997,13
Jennifer Savage,31/05/1996,13
Wendy Faison,10/09/1995,13
Joelle Grimaud,03/08/1996,13
Jenni Ager,01/10/1996,13
Carolyn Ave,29/10/1997,13
Jason Villegas,08/06/1996,13
Clyde Bradley,15/01/1997,13
Cynthia Barrier,10/03/1996,13
Leonard Poole,14/05/1997,13
Joseph Smith,25/04/1996,13
Lisa Sing,23/10/1997,13
Ramon Copper,12/11/1997,13
Lisa Clark,22/09/1996,13
Isreal Jones,05/09/1997,13
Kimberly Fletcher,23/05/1996,13
Tom Jackson,29/08/1995,12
Wai Houlahan,11/12/1994,12
Keith Sharp,23/09/1997,12
Dorothy Elkins,12/04/1995,12
Ollie Rogers,25/11/1995,12
Joann Dimick,09/10/1994,12
Sharleen Johnson,17/04/1996,12
Julia Lewis,13/02/1996,12
Laura Sotelo,06/04/1994,12
Michelle Hampton,20/05/1996,12
Sean Bishop,23/06/1996,12
Vivian Gibson,20/08/1996,12
Samuel Fierro,02/01/1997,12
Shawn Niebaum,06/11/1996,12
Carl Dowling,09/01/1995,12
Byron Wafford,21/05/1995,12
Frank Figueroa,23/07/1997,12
Jerry Carroll,19/11/1995,12
Lewis Rustrian,25/02/1997,12
Teresa Bahlmann,09/07/1997,12
Patricia Nelson,06/04/1996,12
Dawn Gandara,09/12/1995,12
Geraldine Arreola,27/05/1993,12
Lillie Sikes,27/06/1995,12
Rafael Ellis,17/11/1995,12
Donald Reddout,29/08/1997,12
Christi Macpartland,11/12/1996,12
Robert Shepherd,30/03/1993,12
Ana Coleman,05/11/1997,12
Tasia Capehart,17/08/1996,12
Gerry Jenkins,06/01/1997,12
Maribel Walters,30/07/1994,12
Anita Ullrich,16/06/1995,12
James Gantt,10/09/1994,11
James Jensen,20/11/1996,11
Jane Burton,18/10/1996,11
Mary Murray,17/07/1996,11
Louise Rush,24/04/1997,11
Laura Ingram,22/06/1996,11
Homer Castro,10/01/1997,11
Francis Bunting,24/02/1996,11
Ruby Pace,24/07/1996,11
John Velis,17/06/1993,11
Oneida Randall,11/09/1995,11
John Flora,15/05/1996,11
Leroy Smith,09/08/1996,11
Marcia Coleman,08/09/1995,11
John Bona,22/03/1994,11
Roderick Anding,03/09/1994,11
Lauryn George,17/10/1991,11
Jennifer Brown,19/04/1995,11
Kim Palmer,27/03/1997,11
Aaron Nelson,12/12/1994,11
Earl Manson,01/12/1994,11
Babette Mitchell,27/08/1995,11
Shirley Saucedo,02/04/1997,11
Theresa Dixon,28/12/1994,11
Cheryl Burton,17/08/1997,11
Thomas Mann,05/04/1997,11
Deborah Peralez,08/07/1997,11
Carolyn Schimmel,19/03/1997,11
Donna Hull,08/03/1996,11
Daniel Cortez,28/12/1996,11
Brian Lane,16/06/1996,11
Vanessa Aguilar,10/12/1993,11
Betty Kessler,17/11/1995,11
Barbara Brahler,03/11/1995,11
Christina Trujillo,01/07/1994,11
Errol Dietrick,11/01/1996,11
Woodrow Johnston,28/09/1996,11
Steven Estevez,13/01/1992,11
Samuel Casanova,12/03/1990,11
Virginia Quarry,13/10/1995,10
Cassidy Williams,14/08/1996,10
Mohammad Simonds,12/01/1997,10
Gayle Alexander,16/09/1997,10
Phyllis Romero,24/03/1995,10
George Combs,14/02/1997,10
Pete Bobb,22/04/1996,10
Nellie Carney,19/07/1996,10
Maria Mcswain,16/03/1997,10
Olivia Aspinall,24/12/1996,10
Toby Baker,29/02/1996,10
Jay Mitchell,12/12/1996,10
Jerry Fritz,19/10/1995,10
Gilbert Mackay,18/08/1993,10
Jeanette Kiser,16/01/1997,10
Goldie Allred,28/10/1996,10
Adrian Whapham,11/03/1995,10
Virginia Orr,18/10/1995,10
Dawn Douglas,10/12/1995,10
Evelyn Garcia,11/05/1997,10
Vickie Leathers,15/12/1995,10
Laura Smith,05/03/1996,10
Ray Martin,29/08/1993,10
Sarah Mckeon,02/06/1996,10
Melanie Cooke,31/07/1996,10
Jack Hawkins,30/04/1997,10
Keith Bowers,06/04/1997,10
Beulah Lindsey,10/04/1997,10
Lillian Mcnair,19/01/1997,10
Monica Loureiro,24/08/1995,10
Michael Hill,16/02/1997,10
Justin Godoy,30/09/1996,10
Stephanie Dolphin,08/11/1997,10
Michael Pace,26/09/1991,10
Brenda Miller,03/07/1995,10
Tracy Strope,03/11/1996,10
Thomas Cole,11/08/1995,9
Richard Davis,16/09/1994,9
Claire Miller,15/09/1994,9
James Lundborg,02/05/1996,9
Steven Jones,03/02/1996,9
Rhonda Hammond,26/09/1996,9
James Foltz,13/09/1995,9
Esther Swain,12/07/1997,9
Jennifer Miller,16/09/1996,9
Kathryn Dean,11/10/1997,9
Lucia Burkett,30/07/1997,9
Loretta Massey,11/05/1997,9
Wayne Roop,09/10/1995,9
Anthony Scavone,16/04/1997,9
Ardis Haley,29/05/1996,9
Kim Rutledge,20/06/1997,9
Kenneth Hooker,27/05/1990,9
Joseph Higgins,09/05/1993,9
Pablo Weidler,27/09/1992,9
Michelle Riesner,18/11/1997,9
Robert Ewing,09/02/1996,9
Nancy Simoneavd,11/12/1997,9
Natasha Temple,12/05/1997,9
Joann Bright,26/02/1993,9
Charles Ramos,07/10/1996,9
Jerry Beavers,28/03/1996,9
Isaac Myers,01/03/1994,9
Thomas Harbert,21/07/1997,9
Shayne West,20/07/1996,9
David Phillips,12/04/1997,9
Elizabeth Wolley,29/12/1995,9
Ruby Stott,31/08/1994,9
Georgia Stabler,18/09/1993,9
Rogelio Garrett,16/09/1996,9
Dong Brett,17/11/1994,9
Roberto Fitzgerald,23/11/1994,9
Holly Walker,25/04/1996,9
Darrell Wilson,19/01/1993,8
Irma Tseng,06/04/1997,8
Sheila Burch,18/07/1996,8
Jonathan Saballos,28/11/1995,8
Johnnie Mcmillan,25/01/1997,8
Timothy Sharp,17/02/1997,8
John Vildosola,29/05/1996,8
John Thompson,17/01/1995,8
John Panchik,16/09/1995,8
Nathaniel Malpass,02/07/1997,8
John Gilstrap,14/10/1996,8
Carolyn Levins,06/03/1997,8
Joaquin Gist,12/11/1993,8
Darlene Cunha,06/10/1995,8
Cecilia Slone,14/12/1995,8
Sheila Fitzgerald,30/05/1996,8
Geraldine Fried,27/10/1996,8
Jim Turner,08/10/1995,8
Jessica Flynn,04/10/1997,8
Sherry Wilder,26/04/1992,8
Pamela Saltzman,06/03/1997,8
Jennifer Thornbury,02/04/1996,8
Thomas Conlon,07/08/1995,8
Jeffrey Piro,07/04/1997,8
Michelle Mcgriff,30/12/1996,8
Shawn Jimeson,02/09/1996,8
Debra Brown,19/11/1994,8
Martha Burton,18/06/1992,8
Yvonne Knowles,03/02/1997,8
Alicia Turnage,02/06/1997,8
Eva Mulder,28/05/1997,8
Willie Gould,10/07/1995,8
Amy Soto,28/05/1997,8
Andres Burns,06/05/1997,8
William Becker,20/06/1997,8
Ann Mcguigan,02/04/1995,8
Anne Bauer,14/12/1997,8
Marsha Kennedy,27/08/1997,8
Frances Netherton,08/02/1995,8
Joshua Heimsness,12/12/1993,8
Frances Saleado,20/07/1997,8
Matthew Ford,05/11/1994,8
Barry Lynn,24/09/1997,8
Melvin Jones,08/07/1992,8
Kathleen Hellwig,13/09/1997,8
Katherine Gore,30/03/1996,8
Michael Alvarado,05/07/1997,8
Brad Friedman,06/05/1997,8
Judith Wyatt,16/01/1995,8
Michael Schmidtke,23/06/1995,8
Jeff Howell,13/09/1995,8
Doris Wilson,28/06/1996,8
Stephen Diggins,18/01/1994,8
James Baker,21/01/1996,8
James Adams,16/06/1992,8
Dan Saunders,06/12/1996,8
Peter Romo,25/08/1995,8
Cynthia Kennedy,09/07/1996,8
Jamie Abbott,11/10/1996,8
Suzanne Bartley,03/09/1997,8
Cynthia Vanwinkle,27/09/1995,8
James Honor,09/02/1996,8
Kathryn Starr,11/03/1996,7
Shanae Platt,24/03/1997,7
Kirk Muniz,19/12/1996,7
Ethel Gordon,16/04/1997,7
Michael Sutton,05/12/1996,7
Hazel Olberding,16/04/1996,7
James Alfieri,06/07/1997,7
Beverly Pimentel,20/06/1997,7
Daniel Reed,22/01/1995,7
Lisa Macpartland,08/06/1997,7
Fred Aderholt,25/10/1996,7
Michael Selfridge,22/05/1996,7
Rebecca Lynch,25/02/1995,7
Nick Cropsey,04/05/1994,7
Phyliss Bisson,22/08/1996,7
Gerald Butts,17/01/1997,7
Susan Hart,13/01/1996,7
Justin Jackson,17/12/1996,7
Mary Alvarez,20/07/1993,7
Leisa Knight,03/06/1995,7
David Lombardi,03/08/1995,7
Mary Vanauker,24/03/1997,7
Carmen Frix,09/05/1996,7
David Clouston,19/03/1996,7
James Sanchez,24/12/1996,7
Robert Parker,01/10/1997,7
Jesse Mcclung,13/09/1997,7
Ivan Huertas,16/11/1995,7
Eula Wright,20/11/1995,7
Vincent Greene,29/07/1994,7
Caleb Jobe,02/03/1995,7
Amanda Carnes,12/10/1991,7
Joseph Young,17/02/1995,7
Chester Garske,08/06/1997,7
Jennifer Gearhart,14/06/1996,7
Michael Tade,17/11/1994,7
Shirley Laswell,14/11/1992,7
Willis Stewart,21/04/1997,7
Margarita Sanchez,30/08/1995,7
Amanda Darroch,21/10/1990,7
Domingo Banks,12/06/1994,7
Jeremy Garbe,04/01/1996,7
Jeffery Rosenthal,30/01/1996,7
Shirley Hatfield,12/05/1997,7
Virginia Smith,02/02/1995,7
Richard Gwinn,09/07/1994,7
Frank White,10/02/1996,7
Brandon Moore,25/10/1994,6
Leonard Hart,27/04/1994,6
Leona Meinke,22/08/1997,6
Douglas Medina,19/07/1995,6
Lana Cash,08/09/1992,6
Martha Peters,09/01/1995,6
Melissa Cashman,16/09/1997,6
Kim Redding,03/12/1996,6
Kenneth Towns,16/08/1997,6
Kenneth Caldeira,15/09/1995,6
Maurice Dyer,06/01/1995,6
Elease Dicus,24/09/1994,6
James Albers,25/11/1996,6
Benjamin Collins,25/06/1997,6
Ross Peele,03/10/1992,6
Edith Alexander,18/08/1996,6
Eleanor Peters,03/06/1994,6
Betty Rowold,21/05/1995,6
Elizabeth Perry,23/04/1996,6
Leonard Russell,09/04/1995,6
Mary Bell,17/08/1995,6
Vickie Carlos,21/11/1995,6
Julie Ramirez,04/07/1997,6
Anthony Hullinger,02/07/1997,6
Samuel Zubiate,09/03/1995,6
Doris Ramirez,17/05/1992,6
Shirley Ivey,30/01/1996,6
Thomas Perez,22/02/1994,6
Cecil Fryer,07/10/1996,6
Mark Powers,23/03/1997,6
Craig Burks,04/11/1996,6
Donald Ortiz,22/05/1997,6
Robert Murray,21/04/1995,6
Oscar Charles,03/01/1996,6
Charlotte Samuels,04/08/1992,6
Jerome May,04/09/1997,6
William Legg,09/05/1996,6
Patricia Johnson,07/03/1994,6
Sammy Fox,31/08/1996,6
Christina Angell,27/09/1997,6
Allison Larsen,16/10/1993,6
Denise Sullivan,14/11/1995,6
Marcus Cox,05/12/1996,6
Deborah Woods,10/05/1994,6
Harry Duncan,07/10/1996,6
John Gill,18/01/1996,6
Thomas Palomo,09/07/1997,6
John Maynard,23/12/1995,6
Linda Eaton,21/08/1993,6
Anna Morris,15/02/1995,6
Stanley Barnett,22/04/1995,6
Jose Byassee,24/10/1995,6
Jackie Henson,21/10/1993,6
Marion Marceau,20/11/1993,6
Angelica Ruiz,04/04/1994,6
Nadine Benton,26/02/1997,6
Ricardo Hedman,07/11/1995,6
Carl Uson,03/07/1996,6
James Richardson,12/04/1995,6
Matthew Foster,04/08/1996,6
Henry Rios,05/02/1996,6
John Ramirez,29/09/1995,6
Sandra Gavenda,24/04/1997,5
Adam Berry,02/11/1995,5
Larry Reeder,07/08/1994,5
Kimberly Barksdale,05/03/1996,5
Erma Lopez,15/03/1996,5
Alan Shoemake,28/10/1996,5
Martha Jamison,17/01/1996,5
Yvonne Kouba,25/08/1997,5
Alfredo Vinci,08/03/1997,5
Stephen Moskovitz,27/08/1996,5
Linda Holstine,10/04/1997,5
Florence Narain,21/08/1997,5
Larry Coffman,03/06/1996,5
William Nork,21/06/1994,5
Arthur Wall,29/02/1996,5
Amy Keena,03/10/1996,5
Wade Hernandez,19/04/1997,5
Maria Prevost,20/10/1996,5
Felix Graham,12/11/1997,5
Lora Emerald,30/06/1996,5
Amy Challenger,16/08/1995,5
Jean Goldsmith,02/04/1996,5
Jose Goldman,15/10/1992,5
Freddie Longoria,20/04/1996,5
Phyllis Cannon,16/09/1997,5
Michael Pitts,16/01/1997,5
Juan Chandler,22/10/1996,5
Chris Mayer,14/04/1996,5
James Hemingway,10/05/1996,5
Rosa Liu,14/04/1997,5
Todd Thompson,13/10/1995,5
Gary Hansberger,08/02/1995,5
Steven Lee,14/01/1997,5
Inez Ward,20/10/1994,5
Patrick Meehan,22/12/1996,5
Tabitha Bower,21/08/1994,5
Jerry Tracy,17/07/1997,5
Debbie Kern,06/08/1996,5
Myron Richardson,12/06/1996,5
Nadine Rigney,08/10/1996,5
Joan Gatewood,29/03/1997,5
Phillip Brown,08/02/1997,5
Donna Dengler,25/10/1997,5
Rita Valasquez,18/08/1995,5
Phyllis Howlett,06/09/1993,5
Juan Goodnight,17/08/1992,5
Jennell Thompson,24/02/1996,5
Jason Shepard,09/10/1996,5
Kathleen Zerbe,06/06/1996,5
Matthew Stamour,24/09/1996,5
Jean Lotts,07/12/1996,5
Kenny Vandervort,17/10/1995,5
Sang Adams,05/12/1994,5
Terri Kennedy,17/12/1993,5
Keith Gienger,10/04/1996,5
Tara Gonzalez,23/07/1995,5
James Bowen,27/03/1994,5
Dawn Burns,06/04/1996,5
James Faulkner,23/05/1997,5
Jeffrey Peoples,19/03/1997,5
Rosalba Vazquez,02/09/1997,5
Micah Good,06/08/1995,5
Jean Ketchum,06/05/1997,5
James Burns,27/10/1995,5
Simon Hendricks,23/09/1992,4
Oren Rodgers,27/06/1997,4
Margaret Jones,09/08/1996,4
Robert Taylor,19/10/1997,4
Russell Strader,09/03/1995,4
Thomas Adkins,14/09/1995,4
Sylvia Bailey,10/04/1996,4
Richard Hayhoe,05/06/1997,4
Paula Spencer,30/01/1997,4
Thomas Cuccia,24/01/1997,4
Olin Holladay,25/07/1997,4
Matthew Hopper,15/09/1996,4
Timothy Bembry,22/09/1996,4
Russell Segura,30/12/1994,4
Matthew Taylor,07/08/1996,4
Victoria Moak,16/07/1994,4
Mary Lofton,23/04/1996,4
Sean Cole,05/01/1997,4
Virginia Gresham,09/11/1996,4
Mary Curtis,08/05/1997,4
Vicki Jacobs,14/11/1995,4
Valerie Smith,27/12/1995,4
Martha Fitzpatrick,04/11/1996,4
Valeria Vickers,12/11/1996,4
Robert Ray,31/12/1995,4
William Jones,05/05/1997,4
Wesley Blaisdell,09/04/1997,4
Mark Fitz,19/07/1994,4
Rebecca Marusarz,26/11/1994,4
Virginia Blackmon,15/10/1995,4
Steven Woodlin,25/01/1996,4
Tina Taylor,03/05/1995,4
Stacy Judd,02/06/1992,4
Marina Ryan,06/08/1994,4
Roger Mcbryde,17/07/1996,4
William Couch,15/03/1996,4
Robert Pickert,06/08/1995,4
Zoraida Hendrix,26/06/1996,4
Ernest Stewart,26/09/1997,4
Gabriel Kusel,02/12/1995,4
Evelyn Bonita,23/09/1996,4
Daniel Smalls,04/07/1996,4
Brian Rodriguez,28/05/1996,4
Jennifer Bell,02/10/1997,4
Bridgett Collins,04/12/1995,4
Kevin Leonard,11/06/1995,4
Kevin Kahalehoe,15/11/1995,4
Jennine Robertson,11/04/1997,4
Joan Robinson,22/04/1996,4
Joel Heller,10/10/1992,4
Kayla Coggins,17/05/1997,4
Cecilia Brake,21/07/1995,4
Eleanor Snyder,12/02/1996,4
Karl Shephard,05/06/1997,4
Earl Gafford,30/09/1996,4
Christopher Neri,10/06/1996,4
Christopher Orgill,24/06/1996,4
Dora Sims,15/08/1996,4
John Sanos,02/06/1991,4
Coleen Kraus,17/07/1995,4
John Shipman,09/12/1994,4
Cora Gibson,12/01/1997,4
Joseph Kelly,01/11/1993,4
Johnnie Plackett,23/09/1995,4
Dominique Heuser,20/09/1997,4
Bonnie Mitchell,12/03/1997,4
David Schaefer,26/03/1995,4
Libby Locke,13/09/1996,4
James Rainey,13/08/1996,4
Lisa Abbott,25/01/1995,4
Arlene Broadnax,23/04/1997,4
Heather Koehl,02/04/1993,4
Helen Certain,18/11/1994,4
Lettie Bloom,15/03/1994,4
Helen Morrill,30/03/1997,4
Helena Carranza,10/03/1997,4
Anderson Hatton,24/02/1996,4
Irma Cruz,21/01/1997,4
Beatriz Wells,01/07/1995,4
Irma Tseng,03/11/1996,4
Isreal Mathis,23/11/1994,4
Adam Dorsette,07/12/1996,4
Lawrence Girouard,13/08/1996,4
Antonio Woosley,26/03/1994,4
Rena Eades,16/10/1995,3
Marcelo Bourgeois,10/08/1994,3
Donald Shambo,23/10/1994,3
Shirley Arnold,22/07/1997,3
Jack Miranda,24/06/1997,3
Diane Hayes,27/03/1997,3
Edward Brown,11/10/1995,3
Nicholas Lewis,04/06/1995,3
John Borden,27/11/1996,3
Gladys Woodman,10/01/1995,3
Dennis Sharp,11/08/1996,3
Gayla Marroquin,02/04/1996,3
Elisha Bernstein,23/04/1995,3
Patrick Gaff,18/10/1996,3
Phillip Daley,12/03/1995,3
Gena Ford,20/06/1997,3
Francis Mittendorf,31/08/1994,3
Rusty Monterio,04/01/1997,3
Eunice Esparza,01/12/1995,3
Samantha Gramm,02/08/1996,3
Paul Ollendick,25/07/1996,3
Janis Cook,13/03/1996,3
James Pettit,13/05/1997,3
George Andrews,29/09/1996,3
James Koval,27/05/1997,3
Emanuel Furman,25/11/1997,3
George Black,17/06/1994,3
Jennifer Chung,12/05/1997,3
Jennifer Linder,12/08/1997,3
Jenny Mcnabb,25/09/1997,3
Ellen Roberts,05/08/1997,3
Jill Marshall,29/06/1996,3
Sandra Lannier,14/01/1997,3
James Scott,29/11/1996,3
Mae Trent,29/11/1996,3
Jack Hawkins,23/03/1996,3
Jack Bueckers,25/06/1996,3
Tim Amezquita,09/04/1997,3
Megan Lenoir,12/10/1997,3
Megan Faines,18/06/1997,3
Kendall Burgos,05/04/1997,3
Kevin Franklin,31/05/1997,3
Timothy Carroll,04/03/1994,3
Marylin Hughes,10/08/1994,3
Toby Bright,13/09/1997,3
Brenda Baker,16/08/1995,3
Krystal Curtis,01/03/1996,3
Larry Schlager,23/10/1993,3
Laura Buchwald,06/04/1995,3
Vanessa Roberts,18/09/1996,3
Victor Worthy,14/03/1997,3
Becky Atherton,01/09/1995,3
Leroy Samela,27/12/1996,3
Arthur Moon,23/04/1995,3
April King,02/05/1997,3
April Jones,13/10/1997,3
Andrea Hutton,18/04/1991,3
Louis Rowland,01/04/1997,3
Margo Ward,14/07/1995,3
Marcus Jones,09/03/1995,3
Mae Abbott,20/10/1995,3
Melanie Bell,05/12/1995,3
Brian Bailey,26/04/1996,3
Michael Hope,22/09/1997,3
Tiffany Lee,17/07/1994,3
Claude Stein,01/03/1996,3
Sylvia Mcafee,09/12/1996,3
Corey Jackson,07/09/1990,3
Cyndy Allendorf,10/10/1995,3
Susan Miller,17/05/1996,3
Michelle Bennett,23/02/1991,3
Cory Simpson,01/07/1997,3
Sandy Alexander,19/06/1997,2
Billy Willick,14/10/1995,2
Tad Lopez,09/08/1996,2
Donald Hammond,15/03/1993,2
Gerald Orozco,05/10/1990,2
Angelo Kessler,05/04/1996,2
Grace Rains,28/08/1995,2
Tamara Horton,11/09/1992,2
Harry Corona,15/11/1997,2
Domingo Gonzales,14/09/1994,2
William Daley,11/09/1996,2
Amy Cass,31/08/1995,2
Amber Thomas,07/01/1997,2
Amanda Paquette,14/12/1997,2
Debra Nunnery,08/04/1996,2
Richard Hillman,16/10/1996,2
Debra Kelley,12/10/1996,2
Ivory Edwards,14/02/1994,2
Blanch Graven,26/02/1996,2
Donna Krick,05/06/1995,2
Gabriela Cunningham,10/01/1996,2
Francis Ward,15/05/1997,2
Cathy Courtwright,26/03/1997,2
Eliseo Markham,27/02/1996,2
Charles Postell,31/10/1995,2
Tim Reinsfelder,26/01/1997,2
Charles Shearer,14/08/1996,2
Sergio Dean,02/08/1996,2
Tina Malone,28/11/1990,2
Chester Hall,19/03/1990,2
Christopher Grabau,19/12/1996,2
Emily Lund,06/06/1996,2
Eric Tipton,26/06/1996,2
Dalia Bonanno,10/11/1996,2
Brenda Whitt,27/11/1997,2
Troy Gilmore,24/05/1996,2
Duane Hobbs,26/02/1995,2
Ruth Delgado,18/09/1995,2
Rusty Slaton,23/01/1997,2
Troy Miller,13/02/1997,2
Troy Poche,21/02/1993,2
Russell Osborn,27/07/1996,2
Bradley Smith,31/03/1994,2
Dan Ragusa,07/06/1997,2
Geraldine Babb,20/09/1996,2
Judy Livingston,10/11/1996,2
Karl Moore,19/11/1995,2
Kimberly Monroe,30/11/1995,2
Mary Redwine,06/07/1996,2
Kenneth Hartley,14/10/1997,2
Peter Giannetti,18/11/1994,2
Kelly Gagnon,18/08/1995,2
Peggy Ross,23/07/1995,2
Jordan Figueroa,18/11/1996,2
Kathryn Chapman,18/08/1995,2
Katherine Olson,06/12/1996,2
Janine Saur,11/01/1997,2
Michael Heilman,09/07/1995,2
Jeffrey Hernandez,27/10/1993,2
Patrick Gonzales,03/05/1995,2
Laura Fantauzzi,31/03/1993,2
Jimmy Figueroa,09/02/1997,2
Ofelia Sexton,27/10/1995,2
Juan Copeland,12/08/1994,2
John Braswell,22/06/1995,2
Michael Richardson,11/12/1995,2
Joshua Archibald,06/12/1996,2
